event,date,Time,latitude,longitude,depth,magnitude,DateTime,time,Year,Month,Day,Hour,Minute,Second,i+,N+,T+,R+,dm+,n_child,n_parent,eventdateTime,x_km,y_km,time_days,cluster_id,cluster_probability
642,1980-08-06,22:16:24.40,-46.2,165.83,33.0,5.483,1980-08-06 22:16:24.400,218.633550925926,1980,8,6,22,16,24.4,417,9.373477993215955e-05,0.1424350957374753,0.0006580876675571,-0.1959999999999997,0.7051402836990682,0.331830721740738,1980-08-06 22:16:24.400,847.2528229797265,-768.1198732943565,218.53425787037037,0,0.9450037198005935
810,1980-10-05,15:32:50.32,-39.72,176.87,30.0,5.7,1980-10-05 15:32:50.320,278.35329537037035,1980,10,5,15,32,50.32,790,0.0001253113395758,0.0192848207490545,0.0064979260739051,-0.9000000000000004,5.267812707634216,0.497746082611107,1980-10-05 15:32:50.320,1869.305009505432,-226.43708713448618,278.25400231481484,21,0.8456872096239129
1214,1981-03-05,12:53:26.39,-37.13,177.32001,5.0,5.9,1981-03-05 12:53:26.390,429.2426017361111,1981,3,5,12,53,26.39,1211,8.352525556314606e-07,0.0032924200750189,0.0002536895464733,-2.285,3.940489820671264,0.0829576804351845,1981-03-05 12:53:26.390,1977.8416144485957,46.96103522309473,429.14330868055555,28,1.0
3051,1982-07-04,15:42:23.75,-44.72,167.81,82.0,5.15,1982-07-04 15:42:23.750,915.3599322916668,1982,7,4,15,42,23.75,3024,5.414457412506436e-06,0.0215171100095586,0.0002516349737534,-0.8790000000000004,0.497746082611107,0.0829576804351845,1982-07-04 15:42:23.750,1024.5505540080744,-626.2244977830466,915.2606392361112,1,1.0
2074,1981-11-16,12:02:46.08,-37.36,176.73,182.0,5.96,1981-11-16 12:02:46.080,685.207412962963,1981,11,16,12,2,46.08,2038,4.445318968949272e-06,0.0215176017566434,0.0002065898894878,-0.8520000000000003,3.857532140236079,0.4562672423935147,1981-11-16 12:02:46.080,1920.8930273122432,34.60603643129978,685.1081199074074,43,0.9827775841636944
1795,1981-08-30,13:22:43.99,-38.11,179.77,12.0,4.853,1981-08-30 13:22:43.990,607.2629443287037,1981,8,30,13,22,43.99,966,0.0003024302367334,0.586392391846839,0.0005157472043266,0.3470000000000004,0.0414788402175922,0.3733095619583302,1981-08-30 13:22:43.990,2158.692770314677,-116.72858518951033,607.1636512731482,19,1.0
2400,1982-02-05,17:51:37.06,-40.67,175.92999,33.0,5.4,1982-02-05 17:51:37.060,766.449669675926,1982,2,5,17,51,37.06,2252,3.754604047570637e-05,0.0662685738573135,0.0005665738417209,0.0,2.57168809349072,1.4517594076157287,1982-02-05 17:51:37.060,1765.9988363477553,-310.8638681352759,766.3503766203704,34,1.0
2606,1982-03-28,10:20:18.53,-37.09,177.25999,12.0,4.933,1982-03-28 10:20:18.530,817.136260763889,1982,3,28,10,20,18.53,1214,0.0,4.437695592286489,0.0,-1.1629999999999998,0.663661443481476,0.1244365206527767,1982-03-28 10:20:18.530,1973.743725845747,52.65637436227635,817.0369677083333,44,1.0
2932,1982-06-16,08:20:43.28,-40.71,178.06,12.0,5.021,1982-06-16 08:20:43.280,897.053213888889,1982,6,16,8,20,43.28,2929,7.526448209969021e-10,2.5869024233532403e-05,2.9094441839104844e-05,-0.5149999999999997,0.5392249228286993,0.1244365206527767,1982-06-16 08:20:43.280,1939.2223708622878,-360.23232847890847,896.9539208333334,41,1.0
3242,1982-08-20,14:29:20.50,-38.15,176.64999,159.0,4.338,1982-08-20 14:29:20.500,962.3092002314816,1982,8,20,14,29,20.5,3231,9.746742863909912e-06,0.0091697674136747,0.001062921492357,0.0620000000000002,0.2073942010879612,0.165915360870369,1982-08-20 14:29:20.500,1893.1511870292713,-50.133624947363444,962.209907175926,55,0.9989807656041328
3480,1982-10-13,23:25:12.04,-40.17,174.99001,25.0,4.885,1982-10-13 23:25:12.040,1016.681324537037,1982,10,13,23,25,12.04,3474,0.0,0.0030544318501969,0.0,-0.1539999999999999,0.7051402836990682,0.1244365206527767,1982-10-13 23:25:12.040,1701.33986478693,-237.634737634083,1016.5820314814814,58,1.0
4944,1983-09-10,18:45:15.97,-38.33,175.84,205.0,5.18,1983-09-10 18:45:15.970,1348.4869255787037,1983,9,10,18,45,15.97,4932,3.0466880647623422e-06,0.0137509891849424,0.0002215613745154,-0.7469999999999999,0.663661443481476,0.2073942010879612,1983-09-10 18:45:15.970,1819.5303174291605,-52.99082283190596,1348.387632523148,59,0.27832070046360924
4635,1983-06-26,05:10:20.03,-45.21,166.88,5.0,5.367,1983-06-26 05:10:20.030,1271.9210003472224,1983,6,26,5,10,20.03,4620,6.187845348040104e-05,0.0259445221853619,0.0023850296042574,-1.3129999999999995,1.0784498456573983,0.0829576804351845,1983-06-26 05:10:20.030,943.7205264525006,-669.6864924503075,1271.8217072916668,2,1.0
5916,1984-05-05,05:28:25.95,-42.25,172.78,12.0,5.078,1984-05-05 05:28:25.950,1585.9335688657409,1984,5,5,5,28,25.95,5912,5.0972782125951846e-05,0.0035424292438368,0.0143892167259614,-1.5280000000000005,0.7880979641342528,0.0414788402175922,1984-05-05 05:28:25.950,1470.1260721580923,-425.74307464993234,1585.8342758101853,40,0.9578092136949772
