eps,min_pts,N_AF,N_BG,N_clusters,COV_BG,AF_pct
0.25,2,166365,229902,40249,1.423334355863887,41.983056878316894
0.25,3,109895,286372,12014,1.5383077617902206,27.732564154976316
0.25,4,88396,307871,5293,1.5847411814407364,22.30718177390497
0.25,5,78176,318091,3053,1.6055369244000237,19.72811261094161
0.5,2,210311,185956,51196,1.3295479449024177,53.07305427905932
0.5,3,143615,252652,17848,1.466917191975926,36.24197826213134
0.5,4,111510,284757,7869,1.5361045908338582,28.140117647949488
0.5,5,95108,301159,4207,1.5722147346045134,24.00098923200771
1.0,2,262558,133709,58757,1.2065151438457637,66.25785139817346
1.0,3,196384,199883,25670,1.3502892626022927,49.55850474553773
1.0,4,153928,242339,12962,1.4428014570587433,38.844516449767454
1.0,5,126964,269303,7177,1.5025799968434856,32.040013425291534
1.5,2,293922,102345,59331,1.1357247495651848,74.17271688028526
1.5,3,234026,162241,29383,1.2653748519674406,59.057655570612745
1.5,4,189057,207210,16386,1.364253165932088,47.709498898469974
1.5,5,156630,239637,9736,1.4377113467805502,39.52637994079749
2.0,2,314338,81929,56923,1.0879165447412458,79.32479868371578
2.0,3,261310,134957,30409,1.1990467147727455,65.94291222837127
2.0,4,218274,177993,18343,1.2974575026816761,55.08255797227627
2.0,5,183794,212473,11588,1.3759533159926196,46.38135398607505
3.0,2,339607,56660,49879,1.0302712669621545,85.70155980689788
3.0,3,298699,97568,29425,1.1162183972860624,75.37821721213223
3.0,4,261338,134929,19458,1.1977111585386047,65.9499781712835
3.0,5,227377,168890,13315,1.275362425843879,57.379746484062515
