date,time,latitude,longitude,depth,magnitude
1980-01-24,10:15:50.30,-44.97,167.71001,119.0,5.15
1980-01-28,12:30:57.90,-45.19,167.63,92.0,5.2
1980-02-17,05:33:13.43,-38.11,176.13,192.0,4.943
1980-02-18,17:36:51.90,-37.29,177.63,166.0,5.022
1980-03-21,15:28:09.90,-37.47,177.09,5.0,4.925
1980-04-14,22:51:13.16,-37.14,177.37,218.0,5.122
1980-04-24,08:59:40.90,-46.68,164.42999,33.0,5.0
1980-05-23,16:37:29.17,-46.55,166.21001,12.0,5.287
1980-05-27,15:02:26.64,-37.98,175.94,290.0,4.915
1980-06-16,05:07:39.51,-38.07,176.41,170.0,4.856
1980-06-23,16:45:19.40,-39.9,175.62,88.0,5.5
1980-06-30,11:20:53.38,-35.33,178.61,240.0,5.0
1980-07-03,01:48:38.61,-40.44,176.92999,33.0,5.4
1980-07-03,02:02:36.50,-40.43,176.95,33.0,4.912
1980-07-04,17:03:51.28,-39.51,174.42999,227.0,5.045
1980-08-06,22:16:24.40,-46.2,165.83,33.0,5.483
1980-08-31,17:37:19.52,-39.97,173.75999,136.0,5.4
1980-09-30,19:13:53.92,-36.38,178.35001,190.0,4.915
1980-10-05,15:32:50.32,-39.72,176.87,30.0,5.7
1980-10-06,04:55:02.10,-38.04,177.67999,33.0,5.0
1980-10-12,22:23:14.87,-37.17,177.46001,172.0,5.057
1980-10-14,12:27:34.75,-39.17,177.95,33.0,4.992
1980-11-11,09:26:56.98,-35.21,178.37,309.0,5.071
1980-11-20,20:56:54.59,-35.81,179.87,202.0,5.123
1980-11-24,04:22:00.28,-37.7,179.7,12.0,5.2
1980-11-25,04:57:05.28,-37.87,178.49001,12.0,5.5
1980-11-27,09:43:42.08,-37.67,179.55,12.0,4.938
1980-12-22,20:11:30.60,-37.45,176.41,247.0,5.3
1981-03-05,12:53:26.39,-37.13,177.32001,5.0,5.9
1981-03-05,19:09:19.61,-37.14,177.32001,12.0,4.86
1981-03-15,02:35:54.41,-40.66,173.42999,164.0,4.878
1981-03-26,22:30:48.59,-37.74,176.34,248.0,5.137
1981-04-02,15:00:01.11,-39.69,-179.92999,33.0,5.125
1981-04-03,21:21:32.00,-39.22,175.94,95.0,4.9
1981-04-22,04:44:51.80,-38.85,175.96001,110.0,4.967
1981-05-25,04:04:48.86,-38.09,176.10001,191.0,5.288
1981-05-25,05:25:09.10,-48.99,164.60001,33.0,6.367
1981-06-15,02:31:16.39,-48.47,164.85001,33.0,5.533
1981-07-06,17:26:21.46,-36.83,177.5,195.0,4.867
1981-07-11,00:33:29.53,-35.6,179.63,33.0,4.886
1981-07-21,16:04:46.74,-45.12,167.63,115.0,4.882
1981-07-27,10:29:54.92,-35.99,178.05,248.0,5.25
1981-08-30,13:22:43.99,-38.11,179.77,12.0,4.853
1981-09-16,14:50:30.91,-36.47,177.75,229.0,4.892
1981-10-02,17:20:21.20,-36.09,178.14999,257.0,5.19
1981-11-04,22:29:07.63,-40.38,176.39999,33.0,5.194
1981-11-07,07:26:10.24,-37.16,176.82001,226.0,5.108
1981-11-10,15:05:36.88,-38.84,175.05,218.0,5.123
1981-11-13,16:32:02.97,-35.69,179.57001,245.0,4.925
1981-11-16,12:02:46.08,-37.36,176.73,182.0,5.96
1981-11-26,06:46:47.63,-39.65,173.92,175.0,5.288
1981-12-01,17:46:40.40,-37.25,-179.49001,33.0,5.7
1981-12-01,17:51:35.70,-37.26,-179.37,33.0,4.878
1981-12-01,17:59:05.20,-37.23,-179.50999,33.0,4.947
1981-12-23,04:07:36.71,-43.03,177.12,33.0,5.046
1981-12-23,14:58:22.79,-47.75,165.53999,33.0,4.957
1981-12-27,17:18:45.90,-40.63,176.44,33.0,5.4
1982-01-04,12:58:39.50,-36.7,177.63,184.0,5.0
1982-02-05,17:51:37.06,-40.67,175.92999,33.0,5.4
1982-03-03,22:34:38.30,-38.79,177.78999,33.0,5.1
1982-03-28,10:20:18.53,-37.09,177.25999,12.0,4.933
1982-05-16,08:56:42.02,-38.53,176.02,151.0,4.95
1982-06-04,01:57:24.50,-39.04,177.75999,30.0,5.14
1982-06-05,03:48:46.90,-43.27,171.34,12.0,4.878
1982-06-16,08:20:43.28,-40.71,178.06,12.0,5.021
1982-06-18,00:09:10.70,-37.05,177.50999,241.0,5.025
1982-06-24,19:37:16.17,-39.23,174.96001,213.0,4.9
1982-07-04,15:42:23.75,-44.72,167.81,82.0,5.15
1982-08-07,15:41:37.90,-39.72,174.53999,137.0,5.283
1982-09-02,15:58:54.34,-39.74,176.94,41.0,5.4
1982-09-08,17:21:06.57,-38.87,175.75999,0.0,5.015
1982-09-14,21:53:43.10,-36.14,178.59,193.0,4.967
1982-10-12,08:41:04.71,-39.73,174.12,200.0,5.267
1982-10-13,23:25:12.04,-40.17,174.99001,25.0,4.885
1982-10-15,17:30:27.45,-39.12,174.59,12.0,5.0
1982-10-30,07:07:54.81,-39.6,174.3,237.0,5.55
1982-10-31,05:42:46.59,-39.09,176.23,93.0,5.16
1982-11-24,07:33:40.80,-37.55,176.94,203.0,4.933
1983-01-01,00:32:48.89,-39.13,174.77,220.0,5.1
1983-02-07,06:45:50.07,-37.16,176.81,258.0,4.854
