date,time,latitude,longitude,depth,magnitude,som_zone,global_cluster,is_aftershock
1980-01-24,1980-01-24 10:15:50.300,-44.97,167.71001,119.0,5.15,32,-1,0
1980-01-28,1980-01-28 12:30:57.900,-45.19,167.63,92.0,5.2,32,-1,0
1980-02-17,1980-02-17 05:33:13.430,-38.11,176.13,192.0,4.943,22,-1,0
1980-02-18,1980-02-18 17:36:51.900,-37.29,177.63,166.0,5.022,15,-1,0
1980-03-21,1980-03-21 15:28:09.900,-37.47,177.09,5.0,4.925,12,-1,0
1980-04-14,1980-04-14 22:51:13.160,-37.14,177.37,218.0,5.122,16,-1,0
1980-04-24,1980-04-24 08:59:40.900,-46.68,164.42999,33.0,5.0,31,-1,0
1980-05-23,1980-05-23 16:37:29.170,-46.55,166.21001,12.0,5.287,33,-1,0
1980-05-27,1980-05-27 15:02:26.640,-37.98,175.94,290.0,4.915,22,-1,0
1980-06-16,1980-06-16 05:07:39.510,-38.07,176.41,170.0,4.856,22,-1,0
1980-06-23,1980-06-23 16:45:19.400,-39.9,175.62,88.0,5.5,19,-1,0
1980-06-30,1980-06-30 11:20:53.380,-35.33,178.61,240.0,5.0,10,-1,0
1980-07-03,1980-07-03 01:48:38.610,-40.44,176.92999,33.0,5.4,19,-1,0
1980-07-03,1980-07-03 02:02:36.500,-40.43,176.95,33.0,4.912,19,-1,0
1980-07-04,1980-07-04 17:03:51.280,-39.51,174.42999,227.0,5.045,28,-1,0
1980-08-06,1980-08-06 22:16:24.400,-46.2,165.83,33.0,5.483,33,-1,0
1980-08-31,1980-08-31 17:37:19.520,-39.97,173.75999,136.0,5.4,28,-1,0
1980-09-30,1980-09-30 19:13:53.920,-36.38,178.35001,190.0,4.915,9,-1,0
1980-10-05,1980-10-05 15:32:50.320,-39.72,176.87,30.0,5.7,19,-1,0
1980-10-06,1980-10-06 04:55:02.100,-38.04,177.67999,33.0,5.0,13,-1,0
1980-10-12,1980-10-12 22:23:14.870,-37.17,177.46001,172.0,5.057,15,-1,0
1980-10-14,1980-10-14 12:27:34.750,-39.17,177.95,33.0,4.992,13,-1,0
1980-11-11,1980-11-11 09:26:56.980,-35.21,178.37,309.0,5.071,10,-1,0
1980-11-20,1980-11-20 20:56:54.590,-35.81,179.87,202.0,5.123,9,-1,0
1980-11-24,1980-11-24 04:22:00.280,-37.7,179.7,12.0,5.2,8,-1,0
1980-11-25,1980-11-25 04:57:05.280,-37.87,178.49001,12.0,5.5,13,-1,0
1980-11-27,1980-11-27 09:43:42.080,-37.67,179.55,12.0,4.938,8,-1,0
1980-12-22,1980-12-22 20:11:30.600,-37.45,176.41,247.0,5.3,16,-1,0
1981-03-05,1981-03-05 12:53:26.390,-37.13,177.32001,5.0,5.9,12,-1,0
1981-03-05,1981-03-05 19:09:19.610,-37.14,177.32001,12.0,4.86,12,-1,0
1981-03-15,1981-03-15 02:35:54.410,-40.66,173.42999,164.0,4.878,27,-1,0
1981-03-26,1981-03-26 22:30:48.590,-37.74,176.34,248.0,5.137,22,-1,0
1981-04-02,1981-04-02 15:00:01.110,-39.69,-179.92999,33.0,5.125,13,-1,0
1981-04-03,1981-04-03 21:21:32.000,-39.22,175.94,95.0,4.9,20,-1,0
1981-04-22,1981-04-22 04:44:51.800,-38.85,175.96001,110.0,4.967,21,-1,0
1981-05-25,1981-05-25 04:04:48.860,-38.09,176.10001,191.0,5.288,22,-1,0
1981-05-25,1981-05-25 05:25:09.100,-48.99,164.60001,33.0,6.367,31,-1,0
1981-06-15,1981-06-15 02:31:16.390,-48.47,164.85001,33.0,5.533,31,-1,0
1981-07-06,1981-07-06 17:26:21.460,-36.83,177.5,195.0,4.867,15,-1,0
1981-07-11,1981-07-11 00:33:29.530,-35.6,179.63,33.0,4.886,1,-1,0
1981-07-21,1981-07-21 16:04:46.740,-45.12,167.63,115.0,4.882,32,-1,0
1981-07-27,1981-07-27 10:29:54.920,-35.99,178.05,248.0,5.25,10,-1,0
1981-08-30,1981-08-30 13:22:43.990,-38.11,179.77,12.0,4.853,8,-1,0
1981-09-16,1981-09-16 14:50:30.910,-36.47,177.75,229.0,4.892,17,-1,0
1981-10-02,1981-10-02 17:20:21.200,-36.09,178.14999,257.0,5.19,10,-1,0
1981-11-04,1981-11-04 22:29:07.630,-40.38,176.39999,33.0,5.194,19,-1,0
1981-11-07,1981-11-07 07:26:10.240,-37.16,176.82001,226.0,5.108,16,-1,0
1981-11-10,1981-11-10 15:05:36.880,-38.84,175.05,218.0,5.123,23,-1,0
1981-11-13,1981-11-13 16:32:02.970,-35.69,179.57001,245.0,4.925,10,-1,0
1981-11-16,1981-11-16 12:02:46.080,-37.36,176.73,182.0,5.96,15,-1,0
1981-11-26,1981-11-26 06:46:47.630,-39.65,173.92,175.0,5.288,28,-1,0
1981-12-01,1981-12-01 17:46:40.400,-37.25,-179.49001,33.0,5.7,8,37,1
1981-12-01,1981-12-01 17:51:35.700,-37.26,-179.37,33.0,4.878,8,37,1
1981-12-01,1981-12-01 17:59:05.200,-37.23,-179.50999,33.0,4.947,8,37,1
1981-12-23,1981-12-23 04:07:36.710,-43.03,177.12,33.0,5.046,25,-1,0
1981-12-23,1981-12-23 14:58:22.790,-47.75,165.53999,33.0,4.957,31,-1,0
1981-12-27,1981-12-27 17:18:45.900,-40.63,176.44,33.0,5.4,19,-1,0
1982-01-04,1982-01-04 12:58:39.500,-36.7,177.63,184.0,5.0,15,-1,0
1982-02-05,1982-02-05 17:51:37.060,-40.67,175.92999,33.0,5.4,19,-1,0
1982-03-03,1982-03-03 22:34:38.300,-38.79,177.78999,33.0,5.1,13,-1,0
1982-03-28,1982-03-28 10:20:18.530,-37.09,177.25999,12.0,4.933,6,-1,0
1982-05-16,1982-05-16 08:56:42.020,-38.53,176.02,151.0,4.95,21,-1,0
1982-06-04,1982-06-04 01:57:24.500,-39.04,177.75999,30.0,5.14,13,-1,0
1982-06-05,1982-06-05 03:48:46.900,-43.27,171.34,12.0,4.878,24,-1,0
1982-06-16,1982-06-16 08:20:43.280,-40.71,178.06,12.0,5.021,19,-1,0
1982-06-18,1982-06-18 00:09:10.700,-37.05,177.50999,241.0,5.025,17,-1,0
1982-06-24,1982-06-24 19:37:16.170,-39.23,174.96001,213.0,4.9,23,-1,0
1982-07-04,1982-07-04 15:42:23.750,-44.72,167.81,82.0,5.15,32,-1,0
1982-08-07,1982-08-07 15:41:37.900,-39.72,174.53999,137.0,5.283,28,-1,0
1982-09-02,1982-09-02 15:58:54.340,-39.74,176.94,41.0,5.4,19,-1,0
1982-09-08,1982-09-08 17:21:06.570,-38.87,175.75999,0.0,5.015,20,-1,0
1982-09-14,1982-09-14 21:53:43.100,-36.14,178.59,193.0,4.967,9,-1,0
1982-10-12,1982-10-12 08:41:04.710,-39.73,174.12,200.0,5.267,28,-1,0
1982-10-13,1982-10-13 23:25:12.040,-40.17,174.99001,25.0,4.885,18,-1,0
1982-10-15,1982-10-15 17:30:27.450,-39.12,174.59,12.0,5.0,18,-1,0
1982-10-30,1982-10-30 07:07:54.810,-39.6,174.3,237.0,5.55,28,-1,0
1982-10-31,1982-10-31 05:42:46.590,-39.09,176.23,93.0,5.16,20,-1,0
1982-11-24,1982-11-24 07:33:40.800,-37.55,176.94,203.0,4.933,15,-1,0
1983-01-01,1983-01-01 00:32:48.890,-39.13,174.77,220.0,5.1,23,-1,0
1983-02-07,1983-02-07 06:45:50.070,-37.16,176.81,258.0,4.854,16,-1,0
1983-02-12,1983-02-12 10:33:23.610,-39.09,176.32001,97.0,5.2,20,-1,0
1983-02-13,1983-02-13 11:20:58.480,-37.87,177.49001,33.0,5.046,13,-1,0
1983-03-07,1983-03-07 19:31:44.840,-38.76,175.07001,230.0,5.157,23,-1,0
1983-04-02,1983-04-02 20:33:49.820,-37.53,177.8,96.0,5.0,14,-1,0
1983-04-04,1983-04-04 12:13:24.050,-44.09,167.39,12.0,4.9,32,-1,0
1983-04-10,1983-04-10 02:48:02.000,-40.26,173.47,204.0,5.01,28,-1,0
1983-04-16,1983-04-16 20:52:43.180,-39.24,173.64,12.0,4.939,18,-1,0
1983-04-16,1983-04-16 21:29:45.300,-39.26,173.7,12.0,5.281,18,-1,0
1983-05-04,1983-05-04 21:39:03.390,-34.44,177.14999,33.0,5.117,1,-1,0
1983-06-05,1983-06-05 01:11:57.730,-39.52,174.36,215.0,4.938,28,-1,0
1983-06-05,1983-06-05 01:12:09.070,-39.51,174.39999,215.0,5.113,28,-1,0
1983-06-26,1983-06-26 05:10:20.030,-45.21,166.88,5.0,5.367,32,-1,0
1983-07-17,1983-07-17 14:04:17.720,-37.21,176.72,225.0,4.98,16,-1,0
1983-08-01,1983-08-01 04:33:48.360,-36.34,-179.82001,12.0,5.3,1,-1,0
1983-09-10,1983-09-10 18:45:15.970,-38.33,175.84,205.0,5.18,22,-1,0
1983-10-01,1983-10-01 23:17:59.310,-36.74,178.06,159.0,5.373,9,-1,0
1983-10-26,1983-10-26 05:38:23.560,-36.21,-179.39,12.0,5.3,2,-1,0
1983-10-26,1983-10-26 14:29:14.510,-36.32,-179.37,165.0,4.888,9,-1,0
1983-11-12,1983-11-12 08:39:17.930,-38.03,176.86,106.0,5.16,14,-1,0
1983-11-17,1983-11-17 11:34:21.230,-41.11,174.62,55.0,4.94,18,-1,0
1984-01-03,1984-01-03 22:55:39.020,-40.53,174.19,104.0,5.2,27,-1,0
1984-01-29,1984-01-29 12:35:48.300,-41.64,173.95,8.0,5.124,25,-1,0
1984-02-21,1984-02-21 08:23:40.740,-38.9,175.7,8.0,5.33,20,-1,0
1984-02-21,1984-02-21 15:31:11.880,-40.35,173.58,141.0,4.989,27,-1,0
1984-03-05,1984-03-05 02:07:17.600,-38.92,175.78999,5.0,4.96,20,-1,0
1984-03-08,1984-03-08 00:40:52.500,-38.2,177.44,75.0,5.9,14,-1,0
1984-03-14,1984-03-14 05:34:44.370,-38.85,175.05,238.0,5.233,23,-1,0
1984-03-20,1984-03-20 13:41:44.520,-37.27,176.78,226.0,5.2,16,-1,0
1984-04-12,1984-04-12 16:12:48.130,-37.9,178.14,25.0,5.15,13,-1,0
1984-04-16,1984-04-16 14:51:58.150,-44.53,168.28999,5.0,4.89,32,-1,0
1984-05-05,1984-05-05 05:28:25.950,-42.25,172.78,12.0,5.078,24,-1,0
1984-05-05,1984-05-05 05:33:30.090,-42.21,172.78,12.0,4.947,24,-1,0
1984-06-02,1984-06-02 12:20:31.800,-42.3,172.74001,12.0,5.238,24,-1,0
1984-06-09,1984-06-09 14:03:11.970,-38.3,175.78999,200.0,4.938,22,-1,0
1984-06-16,1984-06-16 01:18:36.410,-35.25,178.58,218.0,4.877,10,-1,0
1984-06-24,1984-06-24 13:29:40.720,-43.58659,170.63451,12.0,6.1,24,-1,0
1984-06-24,1984-06-24 13:43:27.870,-43.68,170.67,5.0,5.133,24,-1,0
1984-06-28,1984-06-28 01:51:59.200,-38.91,176.57001,77.0,5.133,20,-1,0
1984-06-28,1984-06-28 02:35:48.890,-35.58,179.05,206.0,4.888,9,-1,0
1984-07-18,1984-07-18 15:27:52.280,-38.43,175.88,210.0,5.236,22,-1,0
1984-08-06,1984-08-06 16:02:57.900,-43.22,172.14,12.0,4.93,24,-1,0
1984-08-17,1984-08-17 18:41:59.530,-39.56,176.57001,84.0,5.343,20,-1,0
1984-09-12,1984-09-12 06:13:52.870,-38.08,175.74001,292.0,5.0,22,-1,0
1984-09-21,1984-09-21 16:46:58.840,-37.99,176.85001,152.0,4.988,15,-1,0
1984-09-27,1984-09-27 21:41:05.700,-44.15,168.56,1.0,5.142,32,-1,0
1984-10-02,1984-10-02 18:52:44.780,-39.07,174.84,214.0,5.018,23,-1,0
1984-10-11,1984-10-11 08:21:26.900,-33.77,-179.02,33.0,5.7,3,-1,0
1984-10-11,1984-10-11 20:19:56.270,-38.22,175.84,203.0,4.909,22,-1,0
1984-11-09,1984-11-09 16:13:46.170,-39.91,176.75,76.0,4.95,19,-1,0
1984-11-11,1984-11-11 10:35:27.110,-42.34,173.17,12.0,4.93,25,-1,0
1984-11-12,1984-11-12 22:56:33.200,-37.54,179.22,27.0,4.968,8,-1,0
1984-12-01,1984-12-01 09:08:15.790,-39.23,174.64999,199.0,4.882,28,-1,0
1984-12-18,1984-12-18 05:49:01.960,-37.12,176.57001,438.0,5.54,17,-1,0
1984-12-28,1984-12-28 04:27:59.370,-36.57,177.59,12.0,4.9,6,30,1
1984-12-28,1984-12-28 04:57:36.370,-36.53,177.58,12.0,4.929,6,30,1
1984-12-28,1984-12-28 11:16:58.120,-36.62,177.57001,12.0,5.243,6,30,1
1984-12-28,1984-12-28 13:05:35.230,-36.66,177.53,12.0,5.1,6,30,1
1984-12-28,1984-12-28 13:58:13.840,-36.65,177.63,12.0,5.417,6,30,1
1984-12-28,1984-12-28 18:20:15.520,-36.55,177.64999,12.0,5.7,6,30,1
1984-12-28,1984-12-28 19:00:26.680,-36.53,177.62,12.0,4.929,6,30,1
1984-12-29,1984-12-29 04:00:37.360,-36.69,177.58,12.0,4.86,6,30,1
1984-12-29,1984-12-29 06:46:44.760,-36.71,177.53999,12.0,4.92,6,30,1
1984-12-29,1984-12-29 17:22:12.780,-36.68,177.58,12.0,4.92,6,30,1
1984-12-29,1984-12-29 18:33:05.900,-36.67,177.52,12.0,5.3,6,30,1
